company,company_tier,total_questions,easy_pct,medium_pct,hard_pct,avg_acceptance,median_acceptance,avg_frequency,median_frequency,avg_likes,avg_dislikes,top_category
lyft,Tier_C,24,0.0,75.0,25.0,53.84583333333334,54.55,44.270833333333336,37.5,10184.208333333334,1169.25,Algorithms
machine-zone,Tier_C,2,0.0,0.0,100.0,46.45,46.45,56.25,56.25,825.5,227.5,Algorithms
machinezone,Tier_C,1,0.0,0.0,100.0,47.9,47.9,100.0,100.0,94.0,323.0,Database
maersk,Tier_C,1,100.0,0.0,0.0,47.6,47.6,62.5,62.5,19118.0,4720.0,Algorithms
makemytrip,Tier_C,23,0.0,69.56521739130434,30.434782608695652,52.17391304347827,48.8,52.17391304347826,50.0,15678.304347826086,889.2608695652174,Algorithms
mapbox,Tier_C,1,100.0,0.0,0.0,82.3,82.3,12.5,12.5,2529.0,125.0,Algorithms
maq-software,Tier_C,7,14.285714285714286,57.142857142857146,28.571428571428573,48.58571428571428,43.1,42.857142857142854,37.5,16694.14285714286,796.1428571428571,Algorithms
marqeta,Tier_C,2,50.0,50.0,0.0,57.7,57.7,50.0,50.0,12839.5,724.0,Algorithms
mastercard,Tier_C,11,45.45454545454545,54.54545454545455,0.0,54.88181818181818,56.8,62.5,62.5,23380.18181818182,1165.4545454545455,Algorithms
mathworks,Tier_B,31,19.35483870967742,48.38709677419355,32.25806451612903,53.403225806451616,52.5,35.08064516129032,12.5,3114.1935483870966,362.5806451612903,Algorithms
mcafee,Tier_C,1,100.0,0.0,0.0,82.2,82.2,25.0,25.0,139.0,13.0,Database
mcdonalds,Tier_C,2,50.0,50.0,0.0,54.7,54.7,31.25,31.25,5578.5,240.5,Algorithms
mckinsey,Tier_C,2,0.0,100.0,0.0,61.8,61.8,18.75,18.75,3224.5,134.5,Algorithms
medianet,Tier_B,32,9.375,46.875,43.75,52.021875,53.7,53.515625,37.5,5411.419354838709,259.2903225806452,Algorithms
meesho,Tier_B,43,9.30232558139535,48.83720930232558,41.86046511627907,50.579069767441865,51.0,47.96511627906977,37.5,7959.1463414634145,619.6829268292682,Algorithms
meituan,Tier_C,1,100.0,0.0,0.0,71.3,71.3,100.0,100.0,117.0,9.0,Algorithms
mercari,Tier_C,6,50.0,50.0,0.0,66.56666666666666,72.75,12.5,12.5,1168.5,384.8333333333333,Algorithms
meta,Tier_A,1366,30.161054172767205,54.68521229868228,15.153733528550513,60.80161054172767,61.3,30.19765739385066,25.0,4514.219033232628,589.1737160120846,Algorithms
micro1,Tier_C,4,25.0,75.0,0.0,51.4,51.7,59.375,62.5,23230.0,1566.5,Algorithms
microsoft,Tier_A,1374,28.020378457059678,55.822416302765646,16.157205240174672,60.74752547307133,61.150000000000006,30.585880640465792,25.0,4457.801935964259,570.6485480268057,Algorithms
microstrategy,Tier_C,9,22.22222222222222,77.77777777777777,0.0,64.62222222222223,66.4,45.833333333333336,50.0,10343.0,2258.4444444444443,Algorithms
millennium,Tier_C,11,18.181818181818183,54.54545454545455,27.272727272727273,49.36363636363637,49.5,52.27272727272727,50.0,14559.272727272728,741.4545454545455,Algorithms
mindtickle,Tier_C,4,0.0,25.0,75.0,52.575,47.65,59.375,62.5,3174.75,91.5,Algorithms
mindtree,Tier_C,5,80.0,20.0,0.0,60.5,60.6,77.5,75.0,20239.4,1202.4,Algorithms
mishipay,Tier_C,1,0.0,0.0,100.0,61.0,61.0,12.5,12.5,575.0,20.0,Algorithms
mitsogo,Tier_C,16,25.0,62.5,12.5,46.925,44.400000000000006,60.9375,56.25,4892.533333333334,1559.5333333333333,Algorithms
mixpanel,Tier_C,2,0.0,100.0,0.0,69.35,69.35,31.25,31.25,5362.0,952.5,Algorithms
mobileye,Tier_C,2,0.0,100.0,0.0,55.15,55.15,81.25,81.25,18239.0,1358.5,Algorithms
mobisy,Tier_C,1,0.0,0.0,100.0,62.5,62.5,100.0,100.0,619.0,51.0,Algorithms
moengage,Tier_C,1,100.0,0.0,0.0,66.9,66.9,100.0,100.0,1141.0,82.0,Algorithms
moloco,Tier_C,14,0.0,71.42857142857143,28.571428571428573,56.60000000000001,57.150000000000006,45.535714285714285,37.5,11923.0,517.7857142857143,Algorithms
moneylion,Tier_C,1,0.0,100.0,0.0,34.5,34.5,100.0,100.0,514.0,102.0,Algorithms
